#{"t_start": 1772680299.729786, "env_id": "None"}
r,l,t
-2.3210914,7750,2414.066876
-2.1918402,6460,2416.952381
-2.2346876,6853,2417.048969
-1.3865151,8928,2418.494262
-2.3212016,8928,2419.962493
-2.3842578,8655,2424.687905
-2.2142892,7006,2425.445793
-2.3605604,8524,2425.726334
-2.0441155,4811,2440.211142
-2.3755991,8861,2441.766018
-2.3408072,8340,2443.510551
