time,open,high,low,close,volume_usd,open_interest_open,open_interest_high,open_interest_low,open_interest_close,funding_rate_open,funding_rate_high,funding_rate_low,funding_rate_close,funding_rate_oi_weight_open,funding_rate_oi_weight_high,funding_rate_oi_weight_low,funding_rate_oi_weight_close,funding_rate_vol_weight_open,funding_rate_vol_weight_high,funding_rate_vol_weight_low,funding_rate_vol_weight_close,global_long_short_account_ratio_global_account_long_percent,global_long_short_account_ratio_global_account_short_percent,global_long_short_account_ratio_global_account_long_short_ratio,top_long_short_account_ratio_top_account_long_percent,top_long_short_account_ratio_top_account_short_percent,top_long_short_account_ratio_top_account_long_short_ratio,top_long_short_position_ratio_top_position_long_percent,top_long_short_position_ratio_top_position_short_percent,top_long_short_position_ratio_top_position_long_short_ratio,liquidation_long_liquidation_usd,liquidation_short_liquidation_usd,liquidation_aggregated_aggregated_long_liquidation_usd,liquidation_aggregated_aggregated_short_liquidation_usd,ask_bids_bids_usd,ask_bids_bids_quantity,ask_bids_asks_usd,ask_bids_asks_quantity,aggregated_ask_bids_aggregated_bids_usd,aggregated_ask_bids_aggregated_bids_quantity,aggregated_ask_bids_aggregated_asks_usd,aggregated_ask_bids_aggregated_asks_quantity,taker_buy_sell_volume_taker_buy_volume_usd,taker_buy_sell_volume_taker_sell_volume_usd
2025-04-21,0.0075364,0.008049,0.0075181,0.007738,686634708.4626,123384753,138527655,122658401,126141884.0,0.01,0.01,-0.001289,0.01,0.009885,0.009985,-0.009753,0.00981,0.009655,0.009994,-0.004989,0.009309,59.19,40.81,1.45,60.01,39.99,1.5,59.17,40.83,1.45,243666.508785,549007.2561604,259457.5777175,569305.4541399,3276143.0924,436876401.0,3301488.0195,435923128.0,3276143.0924,436876401.0,3301488.0195,435923128.0,,
2025-04-22,0.007738,0.0089054,0.007604,0.0088086,936109141.1377,126141884,144108849,121980551,140054262.0,0.01,0.01,0.002703,0.01,0.00981,0.00986,-0.042201,0.006395,0.009309,0.009506,-0.01937,0.007941,57.63,42.37,1.36,58.07,41.93,1.39,59.27,40.73,1.46,303872.250764,1830038.9029434,332900.2465568,1894388.1024844,4610224.7184,598387283.0,2465673.3505,317291637.0,4610224.7184,598387283.0,2465673.3505,317291637.0,,
2025-04-23,0.0088086,0.0096727,0.0086409,0.0088281,1079707244.5432,140054262,142277014,126718891,128074865.0,0.01,0.01,0.007856,0.01,0.006395,0.010138,-0.01936,0.009728,0.007941,0.010055,-0.006029,0.009851,54.2,45.8,1.18,52.49,47.51,1.11,58.23,41.77,1.39,1544892.501806,1222414.7669339,1583768.1788829,1254685.0071623,2471140.7216,281981168.0,2500607.3969,282310845.0,2471140.7216,281981168.0,2500607.3969,282310845.0,,
2025-04-24,0.008828,0.0088681,0.008329,0.0087545,704411971.0897,128074865,137666355,126290064,133153803.0,0.01,0.01,0.005119,0.009801,0.009728,0.010011,-0.043727,0.003759,0.009851,0.010016,-0.01967,0.006286,61.07,38.93,1.57,64.58,35.42,1.82,63.53,36.47,1.74,1372324.8318829,630103.0387309,1401901.6421211,647960.9767869,2710203.6898,308682436.0,2553807.5222,288002357.0,2710203.6898,308682436.0,2553807.5222,288002357.0,,
2025-04-25,0.0087545,0.0092873,0.0085575,0.0090444,864340439.7584,133153803,142009466,128759191,139903770.0,0.009801,0.01,-0.010312,0.01,0.003759,0.009891,-0.010873,0.008844,0.006286,0.009672,-0.011023,0.00884,62.5,37.5,1.67,64.69,35.31,1.83,64.62,35.38,1.83,602082.5039989,1960211.126513,617603.0958622,2002294.1263267,2967676.1149,341035262.0,2416603.2855,275170103.0,2967676.1149,341035262.0,2416603.2855,275170103.0,,
2025-04-26,0.0090444,0.0098,0.0090233,0.0091664,773161110.8475,139903770,152548493,139903770,144282800.0,0.01,0.01,-0.033168,-0.033168,0.008844,0.009981,-0.023428,-0.023428,0.00884,0.009995,-0.027033,-0.027033,65.03,34.97,1.86,66.58,33.42,1.99,65.95,34.05,1.94,810645.2627526,892465.3578472,821564.2960379,922298.0513918,4154424.4079,461630424.0,2365037.1991,260244880.0,4154424.4079,461630424.0,2365037.1991,260244880.0,,
2025-04-27,0.0091664,0.0092062,0.0087076,0.0087594,515133442.4052,144282800,145963738,135960578,136334782.0,-0.033168,0.01,-0.037583,-0.008943,-0.023428,0.009987,-0.028101,-0.00256,-0.027033,0.009994,-0.030497,-0.004926,62.19,37.81,1.65,61.29,38.71,1.58,66.97,33.03,2.03,1841074.7833874,211894.6591934,1881921.5082723,215607.3018098,2872457.9902,315156650.0,3085966.3907,335089696.0,2872457.9902,315156650.0,3085966.3907,335089696.0,,
2025-04-28,0.0087594,0.0091981,0.0085443,0.0089601,823107028.1311,136334782,148209700,131931593,134646585.0,-0.008943,0.007406,-0.031226,0.007406,-0.00256,0.007916,-0.024825,0.007916,-0.004926,0.007441,-0.027091,0.007441,61.8,38.2,1.62,61.35,38.65,1.59,68.52,31.48,2.18,802577.7389497,471825.5967311,832088.6831293,488144.1628958,3926979.5533,450702670.0,2893124.1082,328789900.0,3926979.5533,450702670.0,2893124.1082,328789900.0,,
2025-04-29,0.00896,0.0091519,0.0087105,0.0088562,576173784.6733,134646585,142674665,131258789,137710366.0,0.007406,0.01,0.002966,0.01,0.007916,0.009994,-0.005366,0.009993,0.007441,0.009997,0.000496,0.009997,65.54,34.46,1.9,64.51,35.49,1.82,65.66,34.34,1.91,686058.8265242,341787.0143281,702680.8142818,348503.2774866,2464493.4764,276337477.0,2175883.0626,241762314.0,2464493.4764,276337477.0,2175883.0626,241762314.0,,
2025-04-30,0.0088563,0.0091243,0.0084444,0.0088881,599987011.8408,137710366,145121929,134539035,138554429.0,0.01,0.01,-0.013961,0.006901,0.009993,0.009994,-0.02149,0.008295,0.009997,0.009997,-0.015652,0.007328,67.49,32.51,2.08,67.98,32.02,2.12,68.51,31.49,2.18,914446.8202153,982185.8028657,985942.8199066,995401.6295881,1933645.3723,219375277.0,1571796.248,176701551.0,1933645.3723,219375277.0,1571796.248,176701551.0,,
