time,open,high,low,close,volume_usd,open_interest_open,open_interest_high,open_interest_low,open_interest_close,funding_rate_open,funding_rate_high,funding_rate_low,funding_rate_close,funding_rate_oi_weight_open,funding_rate_oi_weight_high,funding_rate_oi_weight_low,funding_rate_oi_weight_close,funding_rate_vol_weight_open,funding_rate_vol_weight_high,funding_rate_vol_weight_low,funding_rate_vol_weight_close,global_long_short_account_ratio_global_account_long_percent,global_long_short_account_ratio_global_account_short_percent,global_long_short_account_ratio_global_account_long_short_ratio,top_long_short_account_ratio_top_account_long_percent,top_long_short_account_ratio_top_account_short_percent,top_long_short_account_ratio_top_account_long_short_ratio,top_long_short_position_ratio_top_position_long_percent,top_long_short_position_ratio_top_position_short_percent,top_long_short_position_ratio_top_position_long_short_ratio,liquidation_long_liquidation_usd,liquidation_short_liquidation_usd,liquidation_aggregated_aggregated_long_liquidation_usd,liquidation_aggregated_aggregated_short_liquidation_usd,ask_bids_bids_usd,ask_bids_bids_quantity,ask_bids_asks_usd,ask_bids_asks_quantity,aggregated_ask_bids_aggregated_bids_usd,aggregated_ask_bids_aggregated_bids_quantity,aggregated_ask_bids_aggregated_asks_usd,aggregated_ask_bids_aggregated_asks_quantity
2023-03-19,0.07294,0.07654,0.07293,0.0745,405112303.4208,100154677,105874452,99671361,100813006,0.01,0.01,0.01,0.01,0.00427497,0.02318178,0.00004974,0.00867971,,,,,82.55,17.45,4.73,82.5,17.5,4.71,64.2,35.8,1.79,660454.080351,90086.958567,665577.963661,97817.457295,,,,,,,,
2023-03-20,0.07451,0.07559,0.07022,0.07133,504414010.1503,100813006,102834721,94298471,95240850,0.01,0.01,0.003232,0.003258,0.00867971,0.01642428,0.00369185,0.00660704,,,,,80.13,19.87,4.03,77.51,22.49,3.45,64.58,35.42,1.82,957489.081295,41900.936526,1143598.808995,41900.936526,,,,,,,,
2023-03-21,0.07133,0.0779,0.07025,0.0766,673785098.3705,95240850,110426693,93974375,107575500,0.003258,0.01,0.00289,0.01,0.00660704,0.0142602,0.00020354,0.01357083,,,,,83.23,16.77,4.96,82.86,17.14,4.83,62.56,37.44,1.67,200384.413631,213660.713986,201524.044181,276203.595267,,,,,,,,
2023-03-22,0.07659,0.07813,0.07123,0.07382,683438492.2555,107575500,112122345,92694743,94518935,0.01,0.01,0.01,0.01,0.01357083,0.01498914,-0.00102839,0.00190393,,,,,75.27,24.73,3.04,71.93,28.07,2.56,60.18,39.82,1.51,657902.406926,104673.604575,845506.404045,121886.520847,,,,,,,,
2023-03-23,0.07382,0.07955,0.07289,0.07733,645676098.1553,94518935,124064636,93338371,120764534,0.01,0.01,0.01,0.01,0.00190393,0.01467687,-0.01001606,0.01238588,,,,,77.65,22.35,3.47,76.05,23.95,3.18,64.9,35.1,1.85,174379.205349,205000.32665,174902.144269,282324.755559,,,,,,,,
2023-03-24,0.07733,0.07747,0.07266,0.07448,402534046.2501,120764534,120948868,102916738,103643100,0.01,0.01,-0.004896,0.008633,0.01238588,0.01654459,-0.0091082,0.0100082,,,,,76.11,23.89,3.19,73.73,26.27,2.81,63.34,36.66,1.73,371101.533641,19610.576493,444399.246264,19616.074853,,,,,,,,
2023-03-25,0.07448,0.07594,0.07234,0.07398,251006100.6211,103643100,107706330,99373015,102088057,0.008633,0.01,-0.013454,-0.004499,0.0100082,0.01863046,-0.00766156,-0.00533147,,,,,78.61,21.39,3.68,76.92,23.08,3.33,66.28,33.72,1.97,125587.894055,3020.37716,206577.801439,3020.37716,,,,,,,,
2023-03-26,0.07398,0.07544,0.07328,0.07431,209766732.6101,102088057,103652065,97948410,98096549,-0.004499,0.01,-0.004499,0.004188,-0.00533147,0.01847737,-0.00533147,0.0032302,,,,,83.39,16.61,5.02,83.24,16.76,4.97,63.41,36.59,1.73,23754.42437,83637.204275,23754.42437,87316.816725,,,,,,,,
2023-03-27,0.0743,0.07615,0.07116,0.07284,404986524.0049,98096549,107773325,95716631,97832233,0.004188,0.01,-0.006773,-0.002499,0.0032302,0.01179289,-0.0031387,0.00289835,,,,,79.64,20.36,3.91,77.9,22.1,3.53,63.68,36.32,1.75,661707.044761,89662.218675,764478.155737,93611.071095,,,,,,,,
2023-03-28,0.07284,0.07401,0.07159,0.07378,259461245.2108,97832233,98687014,95463832,98386213,-0.002499,0.01,-0.003223,0.008845,0.00289835,0.01241177,0.00024359,0.01028656,,,,,83.19,16.81,4.95,82.65,17.35,4.76,61.46,38.54,1.6,26745.661718,161512.020854,26745.661718,181397.589526,,,,,,,,
