time,open,high,low,close,volume_usd,open_interest_open,open_interest_high,open_interest_low,open_interest_close,funding_rate_open,funding_rate_high,funding_rate_low,funding_rate_close,funding_rate_oi_weight_open,funding_rate_oi_weight_high,funding_rate_oi_weight_low,funding_rate_oi_weight_close,funding_rate_vol_weight_open,funding_rate_vol_weight_high,funding_rate_vol_weight_low,funding_rate_vol_weight_close,global_long_short_account_ratio_global_account_long_percent,global_long_short_account_ratio_global_account_short_percent,global_long_short_account_ratio_global_account_long_short_ratio,top_long_short_account_ratio_top_account_long_percent,top_long_short_account_ratio_top_account_short_percent,top_long_short_account_ratio_top_account_long_short_ratio,top_long_short_position_ratio_top_position_long_percent,top_long_short_position_ratio_top_position_short_percent,top_long_short_position_ratio_top_position_long_short_ratio,liquidation_long_liquidation_usd,liquidation_short_liquidation_usd,liquidation_aggregated_aggregated_long_liquidation_usd,liquidation_aggregated_aggregated_short_liquidation_usd,ask_bids_bids_usd,ask_bids_bids_quantity,ask_bids_asks_usd,ask_bids_asks_quantity,aggregated_ask_bids_aggregated_bids_usd,aggregated_ask_bids_aggregated_bids_quantity,aggregated_ask_bids_aggregated_asks_usd,aggregated_ask_bids_aggregated_asks_quantity
2025-05-19 14:00:00,103239.8,104321,103123.8,104276.2,1801651152.5704,8235355539,8394084293,8235355539,8387111858,0.003983,0.003983,0.002982,0.003039,0.008269,0.008861,0.007832,0.007903,0.006418,0.006785,0.006241,0.00633,49.46,50.54,0.98,51.75,48.25,1.07,62.0,38.0,1.63,2593.1162,679085.1952,2696.4441,770525.7058,182846382.5127,1778.247,246149138.6299,2373.577,182846382.5127,1778.247,246149138.6299,2373.577
2025-05-19 15:00:00,104276.1,104920.2,104219.4,104740.4,1660731410.0292,8387111858,8481059598,8378666754,8466926023,0.003039,0.003039,0.002083,0.0021,0.007903,0.007949,0.006454,0.006454,0.00633,0.006473,0.005453,0.005456,47.41,52.59,0.9,49.77,50.23,0.99,61.82,38.18,1.62,104.2195,339470.8145,104.2195,1318655.3137,189328469.7678,1821.887,267236096.7778,2552.254,189328469.7678,1821.887,267236096.7778,2552.254
2025-05-19 16:00:00,104740.5,105400,104426.8,105314.4,1699437334.8823,8466926023,8545330781,8430753193,8532528133,0.0021,0.00211,0.001393,0.001802,0.006454,0.006588,-0.001198,0.00265,0.005456,0.005655,0.001905,0.004415,44.57,55.43,0.8,47.92,52.08,0.92,61.8,38.2,1.62,1888.8339,1381278.75136,1888.8339,1593109.22896,180550596.928,1730.954,292510719.7378,2779.49,180550596.928,1730.954,292510719.7378,2779.49
2025-05-19 17:00:00,105314.4,105519.8,104896.2,105328.5,1330016190.9138,8532528133,8632352801,8514718340,8632352801,0.001802,0.002999,0.001802,0.002999,0.00265,0.003304,0.002133,0.003304,0.004415,0.005273,0.004172,0.005273,43.24,56.76,0.76,46.98,53.02,0.89,61.72,38.28,1.61,83453.60175,1119704.4566,85953.60175,1216323.3182,211168790.8703,2013.329,347225636.0603,3283.364,211168790.8703,2013.329,347225636.0603,3283.364
2025-05-19 18:00:00,105328.4,105505,104656.3,104741.2,1045165947.9913,8632352801,8661900440,8590783624,8617285498,0.002999,0.003848,0.002999,0.003848,0.003304,0.003549,0.002992,0.003468,0.005273,0.005561,0.00505,0.005482,41.38,58.62,0.71,45.63,54.37,0.84,61.78,38.22,1.62,107730.7751,11789.688,137706.5197,11789.688,212488498.0149,2026.457,393044662.2973,3714.783,212488498.0149,2026.457,393044662.2973,3714.783
2025-05-19 19:00:00,104741.3,105512.3,104588,105457.8,879306579.8701,8617285498,8643609897,8577833241,8643609897,0.003848,0.004697,0.003848,0.004274,0.003468,0.003541,0.002785,0.002785,0.005482,0.00563,0.004926,0.004926,39.92,60.08,0.66,44.77,55.23,0.81,61.95,38.05,1.63,106693.9503,190687.9253,111088.6686,255527.2144,265511909.645,2546.136,250587922.7499,2380.483,265511909.645,2546.136,250587922.7499,2380.483
2025-05-19 20:00:00,105457.9,105755.5,105277.5,105432.1,720428376.3316,8643609897,8653182654,8604680011,8626200538,0.004274,0.005375,0.004172,0.005375,0.002785,0.003627,0.002745,0.002941,0.004926,0.005579,0.004894,0.005314,39.93,60.07,0.67,44.67,55.33,0.81,61.86,38.14,1.62,0,217793.1596,3475.1871,348820.5349,194806614.7618,1854.845,406601629.3648,3838.417,194806614.7618,1854.845,406601629.3648,3838.417
2025-05-19 21:00:00,105432.1,105478.2,104982,105408.5,464428878.498,8626200538,8630788090,8592157227,8623114098,0.005375,0.006677,0.005375,0.00655,0.002941,0.003169,0.002858,0.002907,0.005314,0.00565,0.005266,0.005467,39.42,60.58,0.65,44.21,55.79,0.79,61.89,38.11,1.62,69065.7504,8644.3654,73911.5865,8644.3654,247278160.3428,2356.46,366147192.1491,3456.295,247278160.3428,2356.46,366147192.1491,3456.295
2025-05-19 22:00:00,105408.5,105605.8,105144.6,105512.1,633630244.7742,8623114098,8691414748,8621589176,8685616479,0.00655,0.007259,0.005924,0.007196,0.002907,0.003462,0.002363,0.003459,0.005467,0.005731,0.004953,0.005721,39.03,60.97,0.64,43.93,56.07,0.78,62.01,37.99,1.63,422.2188,36519.9248,422.2188,42223.7462,243079345.7621,2317.689,341101064.2883,3220.703,243079345.7621,2317.689,341101064.2883,3220.703
2025-05-19 23:00:00,105512.1,105798.5,105409.7,105531.6,403606599.2704,8685616479,8718918095,8676954352,8689836361,0.007196,0.008348,0.007196,0.008348,0.003459,0.005041,0.003456,0.005041,0.005721,0.006796,0.005721,0.006796,38.29,61.71,0.62,43.32,56.68,0.76,62.06,37.94,1.64,105.5999,91789.1661,105.5999,110606.1045,246799718.5755,2350.946,347283070.4826,3276.277,246799718.5755,2350.946,347283070.4826,3276.277
