time,open,high,low,close,volume_usd,open_interest_open,open_interest_high,open_interest_low,open_interest_close,funding_rate_open,funding_rate_high,funding_rate_low,funding_rate_close,funding_rate_oi_weight_open,funding_rate_oi_weight_high,funding_rate_oi_weight_low,funding_rate_oi_weight_close,funding_rate_vol_weight_open,funding_rate_vol_weight_high,funding_rate_vol_weight_low,funding_rate_vol_weight_close,global_long_short_account_ratio_global_account_long_percent,global_long_short_account_ratio_global_account_short_percent,global_long_short_account_ratio_global_account_long_short_ratio,top_long_short_account_ratio_top_account_long_percent,top_long_short_account_ratio_top_account_short_percent,top_long_short_account_ratio_top_account_long_short_ratio,top_long_short_position_ratio_top_position_long_percent,top_long_short_position_ratio_top_position_short_percent,top_long_short_position_ratio_top_position_long_short_ratio,liquidation_long_liquidation_usd,liquidation_short_liquidation_usd,liquidation_aggregated_aggregated_long_liquidation_usd,liquidation_aggregated_aggregated_short_liquidation_usd,ask_bids_bids_usd,ask_bids_bids_quantity,ask_bids_asks_usd,ask_bids_asks_quantity,aggregated_ask_bids_aggregated_bids_usd,aggregated_ask_bids_aggregated_bids_quantity,aggregated_ask_bids_aggregated_asks_usd,aggregated_ask_bids_aggregated_asks_quantity,taker_buy_sell_volume_taker_buy_volume_usd,taker_buy_sell_volume_taker_sell_volume_usd
2024-11-03,2493.61,2496.21,2410.35,2457.29,7163438365.5522,3179215220,3198286492,3089478251.0,3165095052.0,0.01,0.01,0.01,0.01,0.008726,0.011497,0.006772,0.00902,0.008827,0.012489,0.005516,0.008857,77.91,22.09,3.53,81.03,18.97,4.27,72.5,27.5,2.64,8477346.18342,2563849.64324,10928614.19655167,2577046.79523,51160026.3282,20616.872,54965240.5305,21951.827,51160026.3282,20616.872,54965240.5305,21951.827,3569395175.9378,3594043189.6144
2024-11-04,2457.3,2491.0,2356.0,2397.37,6531967619.959,3165095052,3212856831,3043548824.0,3069263571.0,0.01,0.01,0.01,0.01,0.00902,0.012498,0.006955,0.009079,0.008857,0.010122,0.004757,0.009257,78.65,21.35,3.68,82.34,17.66,4.66,73.0,27.0,2.7,5505903.00683,2528964.94391,7826203.93910249,4150428.746218,40577505.6122,16588.761,40837006.9753,16542.255,40577505.6122,16588.761,40837006.9753,16542.255,3218019483.4474,3313948136.5116
2024-11-05,2397.36,2479.6,2379.48,2421.42,6231806598.8052,3069263571,3154707916,3045878563.0,3063700458.0,0.01,0.01,0.009431,0.009523,0.009079,0.009664,0.005704,0.006383,0.009257,0.009724,0.005665,0.006384,79.22,20.78,3.81,83.02,16.98,4.89,74.15,25.85,2.87,2420427.34955,2676231.15325,3105487.76839849,2776284.77394,35995965.1704,15071.985,36230023.7937,15051.582,35995965.1704,15071.985,36230023.7937,15051.582,3153791563.5994,3078015035.2058
2024-11-06,2421.41,2746.02,2419.2,2722.49,16271974035.8091,3063700458,3585138585,3061694769.0,3550543245.0,0.009523,0.01,0.009464,0.01,0.006383,0.01738,0.006373,0.012036,0.006384,0.01824,0.006384,0.012749,79.72,20.28,3.93,82.97,17.03,4.87,73.99,26.01,2.85,5419849.79236,9960265.17579,7454099.04946523,12431447.4940327,49214040.4688,20414.93,30034884.8937,12357.298,49214040.4688,20414.93,30034884.8937,12357.298,8355871613.9657,7916102421.8434
2024-11-07,2722.5,2916.56,2700.31,2895.76,14756308643.6903,3550543245,3915702692,3503567995.0,3803354839.0,0.01,0.016234,0.01,0.01,0.012036,0.022632,0.0106,0.010743,0.012749,0.023924,0.010437,0.010995,68.14,31.86,2.14,70.23,29.77,2.36,71.45,28.55,2.5,5604183.75205,10229128.013,6100664.11887521,12163692.71605033,38822893.9941,14318.294,34182334.2227,12504.721,38822893.9941,14318.294,34182334.2227,12504.721,7294119059.3227,7462189584.3676
2024-11-08,2895.76,2982.75,2886.47,2962.12,11332085414.5855,3803354839,4044145477,3803354839.0,3940352288.0,0.01,0.01,0.01,0.01,0.010743,0.018822,0.008935,0.010279,0.010995,0.016689,0.007967,0.010231,65.66,34.34,1.91,67.82,32.18,2.11,72.24,27.76,2.6,5737536.5216,5941981.01234,7159302.30181855,7493307.09122013,38961675.6423,13509.767,43463248.1619,14946.14,38961675.6423,13509.767,43463248.1619,14946.14,5633369229.0518,5698716185.5337
2024-11-09,2962.12,3158.66,2954.1,3127.03,11173760801.9023,3940352288,4082466952,3841633561.0,4046355326.0,0.01,0.01,0.01,0.01,0.010279,0.014881,0.008405,0.011501,0.010231,0.013066,0.007338,0.011685,62.07,37.93,1.64,64.65,35.35,1.83,70.19,29.81,2.36,3441019.06953,21296799.4311,4563949.13348355,23245179.30647641,39247771.5912,13304.198,55247813.35,18560.099,39247771.5912,13304.198,55247813.35,18560.099,5568059229.4129,5605701572.4894
2024-11-10,3127.02,3252.28,3073.86,3185.19,17851093752.3685,4046355326,4167510349,3750422780.0,3835075922.0,0.01,0.035463,0.01,0.028976,0.011501,0.040493,0.009798,0.03586,0.011685,0.041549,0.009344,0.037627,62.48,37.52,1.67,63.6,36.4,1.75,72.0,28.0,2.57,12641484.41431,12916436.10116,17254808.38766096,14355735.12777559,47844451.0928,15366.678,43525109.0418,13860.569,47844451.0928,15366.678,43525109.0418,13860.569,8682682262.7709,9168411489.5976
2024-11-11,3185.18,3392.06,3107.15,3375.02,20262254873.4489,3835075922,4148474548,3759351742.0,4011350679.0,0.028976,0.037371,0.01,0.017539,0.03586,0.046842,0.013074,0.024905,0.037627,0.040291,0.013097,0.02769,67.34,32.66,2.06,68.4,31.6,2.17,73.82,26.18,2.82,7330886.7148,11924923.88717,8968273.0977124,13752952.70003385,34171685.6017,10771.799,26675425.753,8338.597,34171685.6017,10771.799,26675425.753,8338.597,10026580501.3047,10235674372.1442
2024-11-12,3375.02,3449.0,3211.15,3245.98,22813359113.3843,4011350679,4206353237,3825801954.0,3884620951.0,0.017539,0.069828,0.013611,0.013661,0.024905,0.068421,0.017179,0.017179,0.02769,0.068222,0.018966,0.019163,69.71,30.29,2.3,70.24,29.76,2.36,76.55,23.45,3.26,30618997.93042,13004880.20146,36005398.68509094,13896422.70053985,40235885.1505,11967.546,35927220.2255,10598.657,40235885.1505,11967.546,35927220.2255,10598.657,11130406209.7408,11682952903.6435
