cnn_key,obs_key,channel,concept_key,variant,symbol_scope,normalized_name,mean_auc_binary,mean_macro_f1,mean_importance_pct,mean_signal_score,std_signal_score,specs_count,positive_signal_specs,mean_window_size,mean_horizon_k,signal_score_ci_low,signal_score_ci_high
5m_target,price_seq_target,volume_ratio_ema_12_48_spread,volume_ratio,ema_12_48_spread,global,volume_ratio_ema_12_48_spread,0.44210557443663084,0.44172902620032484,0.052395342171274256,0.1845509118058211,0.10859673573450623,12,12,28.0,21.0,0.13574548705087253,0.25407466129292994
5m_others,price_seq_others,ETHUSDT_rsi_14,rsi_14,raw,symbol,rsi_14,0.4629054916282338,0.44265252000030236,0.025965179630897686,0.1822027115341479,0.10301872307016952,12,12,28.0,21.0,0.13696709200898105,0.24796825524772365
5m_others,price_seq_others,SOLUSDT_up_volume_ratio_12,up_volume_ratio_12,raw,symbol,up_volume_ratio_12,0.41908273450160366,0.4425013637761123,0.027311117092951174,0.18109721307438756,0.10421447528339763,12,12,28.0,21.0,0.13621428036304864,0.2479079765953048
5m_others,price_seq_others,1000PEPEUSDT_quote_volume_z_long,quote_volume,z_long,symbol,quote_volume_z_long,0.4152688906262358,0.44287824013799154,0.017435621623351775,0.1802056933762511,0.10410829100940866,12,12,28.0,21.0,0.13534027262741766,0.24698029263325488
1d_others,price_seq_1d_others,1000PEPEUSDT_buy_volume_roc_12,buy_volume,roc_12,symbol,buy_volume_roc_12,0.5,0.44287824013799154,0.0,0.1771512960551966,0.10409301928490977,12,12,28.0,21.0,0.13251224301715822,0.24398980640047743
1d_others,price_seq_1d_others,1000PEPEUSDT_buy_volume_z_long,buy_volume,z_long,symbol,buy_volume_z_long,0.5,0.44287824013799154,0.0,0.1771512960551966,0.10409301928490977,12,12,28.0,21.0,0.13251224301715822,0.24398980640047743
1d_others,price_seq_1d_others,1000PEPEUSDT_high_roc_12,high,roc_12,symbol,high_roc_12,0.5,0.44287824013799154,0.0,0.1771512960551966,0.10409301928490977,12,12,28.0,21.0,0.13251224301715822,0.24398980640047743
1d_others,price_seq_1d_others,1000PEPEUSDT_liq_long_log_z,liq_long,log_z,symbol,liq_long_log_z,0.5,0.44287824013799154,0.0,0.1771512960551966,0.10409301928490977,12,12,28.0,21.0,0.13251224301715822,0.24398980640047743
1d_others,price_seq_1d_others,1000PEPEUSDT_liq_long_roc_1,liq_long,roc_1,symbol,liq_long_roc_1,0.5,0.44287824013799154,0.0,0.1771512960551966,0.10409301928490977,12,12,28.0,21.0,0.13251224301715822,0.24398980640047743
1d_others,price_seq_1d_others,1000PEPEUSDT_liq_long_z_long,liq_long,z_long,symbol,liq_long_z_long,0.5,0.44287824013799154,0.0,0.1771512960551966,0.10409301928490977,12,12,28.0,21.0,0.13251224301715822,0.24398980640047743
1d_others,price_seq_1d_others,1000PEPEUSDT_liq_short_roc_1,liq_short,roc_1,symbol,liq_short_roc_1,0.5,0.44287824013799154,0.0,0.1771512960551966,0.10409301928490977,12,12,28.0,21.0,0.13251224301715822,0.24398980640047743
1d_others,price_seq_1d_others,1000PEPEUSDT_liq_short_z_long,liq_short,z_long,symbol,liq_short_z_long,0.5,0.44287824013799154,0.0,0.1771512960551966,0.10409301928490977,12,12,28.0,21.0,0.13251224301715822,0.24398980640047743
1d_others,price_seq_1d_others,1000PEPEUSDT_liq_short_z_short,liq_short,z_short,symbol,liq_short_z_short,0.5,0.44287824013799154,0.0,0.1771512960551966,0.10409301928490977,12,12,28.0,21.0,0.13251224301715822,0.24398980640047743
1d_others,price_seq_1d_others,1000PEPEUSDT_low_roc_1,low,roc_1,symbol,low_roc_1,0.5,0.44287824013799154,0.0,0.1771512960551966,0.10409301928490977,12,12,28.0,21.0,0.13251224301715822,0.24398980640047743
1d_others,price_seq_1d_others,1000PEPEUSDT_low_z_short,low,z_short,symbol,low_z_short,0.5,0.44287824013799154,0.0,0.1771512960551966,0.10409301928490977,12,12,28.0,21.0,0.13251224301715822,0.24398980640047743
1d_others,price_seq_1d_others,1000PEPEUSDT_ls_account_ratio_z,ls_account_ratio,z,symbol,ls_account_ratio_z,0.5,0.44287824013799154,0.0,0.1771512960551966,0.10409301928490977,12,12,28.0,21.0,0.13251224301715822,0.24398980640047743
