episode_index,profit_base,episode_trade_count_base,total_fees_base,episode_max_dd_base,termination_reason_x,profit_per_trade_base,profit_other,episode_trade_count_other,total_fees_other,episode_max_dd_other,termination_reason_y,profit_per_trade_other,scenario,delta_profit,delta_profit_per_trade,delta_trade_count,delta_total_fees,delta_episode_max_dd
5,194.60457778123026,614,114.37763597580711,0.25326678948255504,max_steps_reached,0.3169455664189418,137.49288928207227,552,92.79845028336084,0.28545660327587086,max_steps_reached,0.2490813211631744,candidate__ultra_minimal,-57.11168849915799,-0.06786424525576737,-62,-21.579185692446273,0.032189813793315813
0,129.52477012847788,425,72.43695086153816,0.21824396338864566,max_steps_reached,0.30476416500818326,98.94281471419151,401,62.72596637803066,0.24170268466092232,max_steps_reached,0.2467401863196796,candidate__minimal_signal,-30.58195541428637,-0.058023978688503675,-24,-9.710984483507502,0.02345872127227666
1,630.4711711730189,832,237.29080364093653,0.25072065023492063,max_steps_reached,0.7577778499675708,124.73645784244707,822,119.04846926462358,0.2677362158654244,max_steps_reached,0.15174751562341493,candidate__minimal_signal,-505.7347133305718,-0.6060303343441559,-10,-118.24233437631295,0.01701556563050377
2,-121.46220895688629,504,48.29191454008069,0.41476541538233835,balance_insufficient,-0.24099644634302836,74.60365704583091,564,76.05366930193608,0.24194439994570094,max_steps_reached,0.13227598766991297,candidate__minimal_signal,196.0658660027172,0.3732724340129413,60,27.761754761855393,-0.17282101543663742
3,160.14294942768083,670,113.93333673990443,0.26204075515160835,max_steps_reached,0.23901932750400123,107.61079721986397,630,92.9096368715803,0.2518657785989094,max_steps_reached,0.17081078923787932,candidate__minimal_signal,-52.532152207816864,-0.06820853826612192,-40,-21.02369986832413,-0.010174976552698944
4,598.0526534868501,806,231.0499837641414,0.24550880466806377,max_steps_reached,0.7420008107777296,117.42522548977814,796,114.3509377906564,0.2544295687448284,max_steps_reached,0.1475191274997213,candidate__minimal_signal,-480.62742799707195,-0.5944816832780083,-10,-116.69904597348498,0.008920764076764648
5,194.60457778123026,614,114.37763597580711,0.25326678948255504,max_steps_reached,0.3169455664189418,128.53765908549502,569,93.17022293716258,0.26313611556333627,max_steps_reached,0.22590098257556243,candidate__minimal_signal,-66.06691869573524,-0.09104458384337935,-45,-21.207413038644532,0.009869326080781227
0,129.52477012847788,425,72.43695086153816,0.21824396338864566,max_steps_reached,0.30476416500818326,100.6702040161112,384,58.84862083259269,0.23117868898522706,max_steps_reached,0.2621619896252896,candidate__minimal_plus_entry_filter,-28.854566112366683,-0.04260217538289368,-41,-13.588330028945478,0.012934725596581403
1,630.4711711730189,832,237.29080364093653,0.25072065023492063,max_steps_reached,0.7577778499675708,65.25529643601499,719,92.82804349218475,0.29908410690355025,max_steps_reached,0.09075840950767036,candidate__minimal_plus_entry_filter,-565.2158747370039,-0.6670194404599005,-113,-144.46276014875178,0.04836345666862962
2,-121.46220895688629,504,48.29191454008069,0.41476541538233835,balance_insufficient,-0.24099644634302836,49.20698157532513,520,67.41914021676943,0.246508914019189,max_steps_reached,0.0946288107217791,candidate__minimal_plus_entry_filter,170.66919053221142,0.33562525706480745,16,19.127225676688745,-0.16825650136314935
3,160.14294942768083,670,113.93333673990443,0.26204075515160835,max_steps_reached,0.23901932750400123,93.50432448349903,598,88.16622143461628,0.30123715113769584,max_steps_reached,0.1563617466279248,candidate__minimal_plus_entry_filter,-66.6386249441818,-0.08265758087607644,-72,-25.767115305288158,0.039196395986087484
4,598.0526534868501,806,231.0499837641414,0.24550880466806377,max_steps_reached,0.7420008107777296,92.16908591265809,700,92.42089314914165,0.2679856300168963,max_steps_reached,0.1316701227323687,candidate__minimal_plus_entry_filter,-505.883567574192,-0.610330688045361,-106,-138.62909061499974,0.022476825348832524
5,194.60457778123026,614,114.37763597580711,0.25326678948255504,max_steps_reached,0.3169455664189418,134.3116540330015,530,86.75479016513732,0.3211375787616781,max_steps_reached,0.2534182151566066,candidate__minimal_plus_entry_filter,-60.29292374822876,-0.06352735126233516,-84,-27.622845810669787,0.06787078927912304
