window_size,window_size_1d,horizon_k,recent_bars,n_valid,n_train,n_valid_split,n_test,binary_positive_rate_train,binary_positive_rate_test,cnn_key,obs_key,channel,auc_binary,macro_f1,importance_sum,importance_pct,signal_score,concept_key,variant,symbol_scope,normalized_name
48,6,48,48,2000,1400,300,300,0.505,0.57,5m_target,price_seq_target,high_roc_12,0.5471236230110158,0.44954128440366975,83.0,0.02272105119080208,0.22563593215000244,high,roc_12,global,high_roc_12
48,6,48,48,2000,1400,300,300,0.505,0.57,5m_target,price_seq_target,high_ema_12_48_spread,0.4994786708372999,0.2947761194029851,73.0,0.019983575143717493,0.12090798403275166,high,ema_12_48_spread,global,high_ema_12_48_spread
48,6,48,48,2000,1400,300,300,0.505,0.57,5m_target,price_seq_target,low_z_short,0.5339770615168411,0.2949194547707559,4.0,0.0010949904188338351,0.14871138583628443,low,z_short,global,low_z_short
48,6,48,48,2000,1400,300,300,0.505,0.57,5m_target,price_seq_target,low_z_long,0.39385284917720653,0.2907268170426065,0.0,0.0,0.11629072681704261,low,z_long,global,low_z_long
48,6,48,48,2000,1400,300,300,0.505,0.57,5m_target,price_seq_target,low_roc_1,0.3926968584251325,0.43609022556390975,0.0,0.0,0.17443609022556392,low,roc_1,global,low_roc_1
48,6,48,48,2000,1400,300,300,0.505,0.57,5m_target,price_seq_target,low_roc_12,0.5200145065506142,0.44954128440366975,0.0,0.0,0.1978295696570207,low,roc_12,global,low_roc_12
48,6,48,48,2000,1400,300,300,0.505,0.57,5m_target,price_seq_target,low_ema_12_48_spread,0.41051271589827276,0.44954128440366975,0.0,0.0,0.1798165137614679,low,ema_12_48_spread,global,low_ema_12_48_spread
48,6,48,48,2000,1400,300,300,0.505,0.57,5m_target,price_seq_target,close_z_short,0.4213246294029648,0.2976629766297663,0.0,0.0,0.11906519065190653,close,z_short,global,close_z_short
48,6,48,48,2000,1400,300,300,0.505,0.57,5m_target,price_seq_target,close_z_long,0.3300466929597896,0.44954128440366975,0.0,0.0,0.1798165137614679,close,z_long,global,close_z_long
48,6,48,48,2000,1400,300,300,0.505,0.57,5m_target,price_seq_target,close_roc_1,0.4065687474500204,0.44954128440366975,0.0,0.0,0.1798165137614679,close,roc_1,global,close_roc_1
48,6,48,48,2000,1400,300,300,0.505,0.57,5m_target,price_seq_target,close_roc_12,0.48934675189265153,0.44954128440366975,0.0,0.0,0.1798165137614679,close,roc_12,global,close_roc_12
